id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs,SessionID
1,795.991,721.911,73492992.4806,15992926.2778,656499.453209,0_Jupiter,889CH4,2020-10-08T01:33:59,20201008UT
1,627.718,735.023,1465001.25103,2222548.59178,7017.17254569,3_Ganymede,889CH4,2020-10-08T01:33:59,20201008UT
2,1055.585,728.432,1173908.7601,2217073.16399,3805.62581787,2_Europa,889CH4,2020-10-08T01:33:59,20201008UT
3,1125.006,736.472,1037947.51023,2203039.31434,2353.41963728,4_Callisto,889CH4,2020-10-08T01:33:59,20201008UT
1,795.991,721.911,209475724.03,18428923.8218,1928730.89956,0_Jupiter,940NIR,2020-10-08T01:38:07,20201008UT
1,627.718,735.023,1161556.81502,2498176.76403,2247.40528508,3_Ganymede,940NIR,2020-10-08T01:38:07,20201008UT
2,1055.585,728.432,1051108.17573,2482921.96024,1200.12440644,2_Europa,940NIR,2020-10-08T01:38:07,20201008UT
3,1125.006,736.472,1000249.34522,2467721.4102,748.538163922,4_Callisto,940NIR,2020-10-08T01:38:07,20201008UT
1,795.991,721.911,580400259.603,18514711.7508,59338983.0639,0_Jupiter,656HIA,2020-10-08T01:46:42,20201008UT
1,627.718,735.023,1529149.04945,2441384.04018,64592.6351977,3_Ganymede,656HIA,2020-10-08T01:46:42,20201008UT
2,1055.585,728.432,1205427.41848,2417790.57214,31447.9951507,2_Europa,656HIA,2020-10-08T01:46:42,20201008UT
3,1125.006,736.472,1097936.75213,2415639.01441,20218.1180761,4_Callisto,656HIA,2020-10-08T01:46:42,20201008UT
1,795.991,721.911,501216632.687,15526262.7535,60903626.0731,0_Jupiter,672SII,2020-10-08T01:49:07,20201008UT
1,627.718,735.023,1296622.86144,2050582.20676,65956.8167381,3_Ganymede,672SII,2020-10-08T01:49:07,20201008UT
2,1055.585,728.432,1024996.84684,2038891.44784,32551.5692375,2_Europa,672SII,2020-10-08T01:49:07,20201008UT
3,1125.006,736.472,918951.744576,2018423.20592,20255.3802946,4_Callisto,672SII,2020-10-08T01:49:07,20201008UT
1,795.991,721.911,824023865.878,19395985.6587,80655000.4924,0_Jupiter,647CNT,2020-10-08T01:51:49,20201008UT
1,627.718,735.023,1845865.80505,2574780.54118,88032.3102108,3_Ganymede,647CNT,2020-10-08T01:51:49,20201008UT
2,1055.585,728.432,1393966.42435,2546601.14468,43899.099509,2_Europa,647CNT,2020-10-08T01:51:49,20201008UT
3,1125.006,736.472,1225689.33392,2535429.14417,27490.3404854,4_Callisto,647CNT,2020-10-08T01:51:49,20201008UT
